order_id,customer_id,shipping,created_at
29,16,80,2018/1/30 PM 4:17:30
63,16,80,2018/2/1 AM 8:48:20
64,16,80,2018/2/1 AM 11:01:49
65,16,80,2018/2/2 AM 2:44:40
1,15,80,2018/1/17 AM 4:09:53
2,15,0,2018/1/18 AM 3:41:21
6,15,80,2018/1/22 AM 4:34:15
8,15,80,2018/1/22 AM 6:57:28
10,15,80,2018/1/23 AM 4:43:59
11,15,80,2018/1/24 AM 5:49:04
12,15,80,2018/1/29 AM 7:27:11
30,15,80,2018/2/1 AM 12:53:34
96,15,80,2018/2/5 AM 11:54:34
101,15,80,2018/2/5 PM 1:50:38
113,15,80,2018/2/6 AM 4:11:00
154,15,80,2018/2/6 AM 8:05:53
184,15,80,2018/2/7 AM 3:50:10
46,12,80,2018/2/1 AM 7:12:49
160,12,80,2018/2/6 PM 12:05:34
14,10,80,2018/1/29 PM 12:34:19
15,10,80,2018/1/30 AM 2:12:04
16,10,80,2018/1/30 AM 6:05:31
17,10,80,2018/1/30 AM 6:08:32
18,10,80,2018/1/30 AM 8:17:08
27,10,80,2018/1/30 AM 8:58:34
28,10,80,2018/1/30 AM 9:15:42
34,10,80,2018/2/1 AM 2:53:52
35,10,80,2018/2/1 AM 3:57:42
36,10,80,2018/2/1 AM 6:51:26
37,10,80,2018/2/1 AM 7:01:48
47,10,80,2018/2/1 AM 7:13:58
48,10,80,2018/2/1 AM 7:15:59
53,10,80,2018/2/1 AM 7:26:20
84,10,80,2018/2/2 AM 3:11:06
85,10,0,2018/2/2 AM 6:27:07
86,10,80,2018/2/2 AM 6:44:33
87,10,80,2018/2/2 AM 7:00:44
88,10,80,2018/2/2 AM 7:11:08
89,10,80,2018/2/2 AM 7:15:33
90,10,80,2018/2/2 AM 7:35:18
91,10,80,2018/2/2 AM 7:49:02
92,10,80,2018/2/2 AM 10:03:06
94,10,80,2018/2/2 AM 10:28:43
95,10,80,2018/2/3 AM 11:22:40
97,10,80,2018/2/5 PM 12:04:42
98,10,80,2018/2/5 PM 1:42:51
99,10,80,2018/2/5 PM 1:44:13
100,10,80,2018/2/5 PM 1:45:23
108,10,80,2018/2/5 PM 1:52:25
109,10,80,2018/2/5 PM 1:54:12
110,10,80,2018/2/5 PM 2:00:58
111,10,80,2018/2/5 PM 2:01:38
112,10,80,2018/2/6 AM 3:03:26
114,10,80,2018/2/6 AM 4:20:17
115,10,80,2018/2/6 AM 4:22:35
116,10,80,2018/2/6 AM 4:25:47
117,10,0,2018/2/6 AM 4:32:18
118,10,0,2018/2/6 AM 5:05:08
137,10,0,2018/2/6 AM 5:18:06
138,10,0,2018/2/6 AM 5:39:50
139,10,0,2018/2/6 AM 6:00:11
140,10,80,2018/2/6 AM 6:09:00
141,10,80,2018/2/6 AM 6:14:53
142,10,80,2018/2/6 AM 6:21:06
143,10,80,2018/2/6 AM 6:36:59
144,10,80,2018/2/6 AM 6:49:31
145,10,80,2018/2/6 AM 7:04:23
146,10,80,2018/2/6 AM 7:10:50
147,10,80,2018/2/6 AM 7:51:54
148,10,80,2018/2/6 AM 8:02:29
155,10,80,2018/2/6 AM 8:43:12
156,10,80,2018/2/6 AM 9:03:18
157,10,80,2018/2/6 AM 9:05:58
158,10,80,2018/2/6 AM 9:28:42
159,10,80,2018/2/6 PM 12:04:12
161,10,80,2018/2/6 PM 12:08:23
162,10,80,2018/2/6 PM 12:34:28
163,10,80,2018/2/7 AM 3:42:42
164,10,80,2018/2/7 AM 3:44:36
49,8,80,2018/2/1 AM 7:21:02
52,8,80,2018/2/1 AM 7:21:59
54,8,80,2018/2/1 AM 7:26:38
3,3,0,2018/1/18 AM 10:09:10
4,3,0,2018/1/18 AM 10:11:49
5,3,0,2018/1/18 AM 10:15:39
